DateTime,EventId,EventType,RecordId,SessionTag
2025-10-10 17:20:25,6008,Unexpected shutdown (previous shutdown was unexpected),90625,logoff
2025-10-10 17:20:25,6005,System startup (Event Log service started),90627,logon
2025-10-10 17:21:56,7001,User logon notification,90773,logon
2025-10-11 09:24:48,41,System rebooted without cleanly shutting down,90889,logoff
2025-10-11 09:25:00,6005,System startup (Event Log service started),90874,logon
2025-10-11 09:25:00,6008,Unexpected shutdown (previous shutdown was unexpected),90864,logoff
2025-10-11 09:25:21,7001,User logon notification,91021,logon
2025-10-12 01:49:03,1074,System shutdown/restart initiated,91331,logoff
2025-10-12 01:49:18,1074,System shutdown/restart initiated,91357,logoff
2025-10-12 01:49:18,7002,User logoff notification,91358,logoff
2025-10-12 10:35:49,7001,User logon notification,91380,logon
2025-10-12 13:24:48,1074,System shutdown/restart initiated,91495,logoff
2025-10-12 13:24:49,7002,User logoff notification,91519,logoff
2025-10-12 17:38:58,7001,User logon notification,91540,logon
2025-10-13 19:38:49,41,System rebooted without cleanly shutting down,91689,logoff
2025-10-13 19:38:58,6005,System startup (Event Log service started),91674,logon
2025-10-13 19:38:58,6008,Unexpected shutdown (previous shutdown was unexpected),91672,logoff
2025-10-13 19:41:07,7001,User logon notification,91823,logon
2025-10-13 21:38:50,1074,System shutdown/restart initiated,91899,logoff
2025-10-13 21:39:04,1074,System shutdown/restart initiated,91926,logoff
2025-10-13 21:39:04,7002,User logoff notification,91927,logoff
2025-10-13 21:39:42,6005,System startup (Event Log service started),91937,logon
2025-10-13 21:42:37,7001,User logon notification,92113,logon
2025-10-13 23:17:06,1074,System shutdown/restart initiated,92198,logoff
2025-10-14 19:55:21,41,System rebooted without cleanly shutting down,92253,logoff
2025-10-14 19:55:32,6005,System startup (Event Log service started),92230,logon
2025-10-14 19:55:32,6008,Unexpected shutdown (previous shutdown was unexpected),92228,logoff
2025-10-14 19:56:07,7001,User logon notification,92384,logon
2025-10-15 19:26:27,41,System rebooted without cleanly shutting down,92550,logoff
2025-10-15 19:26:36,6008,Unexpected shutdown (previous shutdown was unexpected),92533,logoff
2025-10-15 19:26:36,6005,System startup (Event Log service started),92535,logon
2025-10-15 19:27:09,7001,User logon notification,92681,logon
2025-10-15 22:46:21,1074,System shutdown/restart initiated,92946,logoff
2025-10-15 22:46:23,7002,User logoff notification,92970,logoff
2025-10-15 22:47:09,6005,System startup (Event Log service started),92981,logon
2025-10-15 22:47:31,1074,System shutdown/restart initiated,93148,logoff
2025-10-15 22:47:59,6005,System startup (Event Log service started),93157,logon
2025-10-15 22:48:17,7001,User logon notification,93299,logon
2025-10-17 08:28:49,41,System rebooted without cleanly shutting down,93338,logoff
2025-10-17 08:29:01,6008,Unexpected shutdown (previous shutdown was unexpected),93312,logoff
2025-10-17 08:29:01,6005,System startup (Event Log service started),93314,logon
2025-10-17 08:30:27,7001,User logon notification,93486,logon
2025-10-18 00:20:43,1074,System shutdown/restart initiated,93810,logoff
2025-10-18 00:20:45,1074,System shutdown/restart initiated,93834,logoff
2025-10-18 00:20:45,7002,User logoff notification,93835,logoff
2025-10-18 08:34:53,6005,System startup (Event Log service started),93848,logon
2025-10-18 08:39:51,7001,User logon notification,94015,logon
2025-10-19 01:45:31,1074,System shutdown/restart initiated,94217,logoff
2025-10-19 01:45:33,7002,User logoff notification,94243,logoff
2025-10-19 01:45:33,1074,System shutdown/restart initiated,94242,logoff
2025-10-19 09:37:55,7001,User logon notification,94263,logon
2025-10-19 15:19:02,1074,System shutdown/restart initiated,94413,logoff
2025-10-19 15:19:03,7002,User logoff notification,94434,logoff
2025-10-19 15:45:03,7001,User logon notification,94452,logon
2025-10-19 16:53:12,1074,System shutdown/restart initiated,94502,logoff
2025-10-19 16:53:13,7002,User logoff notification,94523,logoff
2025-10-19 19:04:42,7001,User logon notification,94544,logon
2025-10-19 20:42:05,1074,System shutdown/restart initiated,94629,logoff
2025-10-19 20:42:06,7002,User logoff notification,94649,logoff
2025-10-20 20:08:45,7001,User logon notification,94677,logon
2025-10-20 20:46:55,1074,System shutdown/restart initiated,94795,logoff
2025-10-20 20:46:57,7002,User logoff notification,94815,logoff
2025-10-21 06:44:45,7001,User logon notification,94836,logon
2025-10-21 08:08:16,1074,System shutdown/restart initiated,94958,logoff
2025-10-22 07:42:16,41,System rebooted without cleanly shutting down,94998,logoff
2025-10-22 07:42:25,6005,System startup (Event Log service started),94983,logon
2025-10-22 07:42:25,6008,Unexpected shutdown (previous shutdown was unexpected),94981,logoff
2025-10-22 07:42:51,7001,User logon notification,95129,logon
2025-10-22 08:55:30,1074,System shutdown/restart initiated,95308,logoff
2025-10-22 08:55:32,7002,User logoff notification,95328,logoff
2025-10-22 08:56:12,6005,System startup (Event Log service started),95339,logon
2025-10-22 08:56:29,1074,System shutdown/restart initiated,95499,logoff
2025-10-22 08:56:58,6005,System startup (Event Log service started),95508,logon
2025-10-22 19:48:11,7001,User logon notification,95680,logon
2025-10-22 23:02:33,1074,System shutdown/restart initiated,95775,logoff
2025-10-22 23:02:34,7002,User logoff notification,95797,logoff
2025-10-22 23:02:34,1074,System shutdown/restart initiated,95796,logoff
2025-10-23 20:08:33,7001,User logon notification,95827,logon
2025-10-23 21:23:28,1074,System shutdown/restart initiated,95954,logoff
2025-10-23 21:23:30,7002,User logoff notification,95974,logoff
2025-10-24 09:36:54,7001,User logon notification,96000,logon
2025-10-24 10:01:17,41,System rebooted without cleanly shutting down,96150,logoff
2025-10-24 10:01:28,6008,Unexpected shutdown (previous shutdown was unexpected),96118,logoff
2025-10-24 10:01:28,6005,System startup (Event Log service started),96120,logon
